sample,cg05897963,cg14498592,cg09077862,cg03461110,cg10036013,cg15896356,cg26667395,cg19861824,cg05979118,cg21141024,cg17240135,cg05648964,cg03811629,cg17913347,cg25732104,cg06946838,cg21178254,cg11541547,cg23752752,cg06212582,cg25149125,cg18546840,cg21547690,cg09507567,cg04907244,cg03191045,cg07759247,cg18836258,cg03577433,cg08852963,cg03184410,cg13429194,cg01269718,cg18663033,cg02797195,cg09129050,cg12954512,cg25331250,cg20779334,cg23713520,cg00208274,cg25663755,cg01832712,cg04415270,cg05445090,cg07342322,cg19815271,cg05516489,cg06206957,cg20415486,cg09011473,cg25185947,cg26166817,cg25470148,cg24112733,stage
TCGA-AQ-A0Y5-01A,0.224966014,0.472257185,0.505563347,0.299513524,0.218463572,0.488734,0.070755457,0.567076957,0.734242958,0.517797956,0.461601362,0.334716405,0.56918723,0.277700593,0.404153509,0.321643682,0.208627369,0.357669856,0.320937501,0.903473416,0.915604108,0.238635716,0.581788718,0.187648931,0.33313722,0.111918986,0.044676547,0.299130985,0.634923469,0.210542442,0.759404843,0.627144827,0.421771523,0.59136812,0.766728185,0.831845723,0.71112601,0.896442713,0.758200083,0.607191297,0.413006659,0.193339597,0.183698445,0.194166203,0.914052011,0.48022916,0.800176205,0.540788857,0.292989108,0.141560929,0.736087052,0.731159302,0.977706468,0.469236022,0.117636798,Late
TCGA-EW-A2FW-01A,0.78698348,0.814954875,0.488462897,0.11455595,0.096403661,0.926896747,0.510343182,0.098421731,0.494846081,0.575527521,0.871734744,0.589225677,0.294473759,0.285782989,0.913072878,0.730670915,0.347052321,0.479950805,0.056709773,0.919880001,0.464844266,0.104235518,0.220076064,0.57889388,0.25433838,0.433467539,0.03633072,0.139985506,0.84582322,0.229517827,0.8140711,0.284913394,0.08110862,0.864703673,0.948932763,0.494846081,0.060527379,0.494846081,0.887541405,0.510450177,0.145863641,0.233560139,0.051365551,0.70944111,0.911824302,0.927341403,0.484697409,0.074637422,0.643663305,0.490971379,0.835326007,0.494846081,0.98738471,0.843737119,0.236471313,Early
TCGA-C8-A274-01A,0.821426018,0.45201339,0.90970429,0.154637538,0.115907773,0.947260292,0.056315236,0.25354375,0.523793459,0.601310083,0.861105263,0.270007066,0.75872037,0.212016596,0.808851804,0.494646349,0.283843363,0.241885686,0.12121805,0.913345194,0.834452068,0.180902526,0.265820871,0.476681371,0.560243662,0.707734799,0.058634321,0.389088677,0.885484042,0.180824729,0.548093627,0.263473807,0.707116642,0.886234715,0.947926225,0.872220014,0.749035669,0.956343123,0.89165449,0.758635082,0.205896881,0.332088427,0.689392685,0.745793059,0.923320599,0.719442859,0.538607189,0.763649378,0.127844743,0.766862927,0.781129815,0.323947669,0.295202286,0.880204832,0.129614103,Early
TCGA-AC-A62V-01A,0.394276974,0.342063328,0.91913295,0.76546481,0.869587421,0.927901806,0.080092333,0.116260974,0.557656161,0.37355585,0.848351463,0.330234944,0.52795479,0.810601132,0.732506168,0.333343973,0.617283186,0.381770145,0.795614411,0.922027906,0.43747357,0.557656161,0.791919371,0.403284131,0.31874387,0.173907373,0.784457245,0.109579683,0.854177689,0.220118661,0.857910139,0.557656161,0.073658916,0.796861726,0.743106211,0.891985075,0.850830814,0.132225145,0.777378978,0.750299676,0.743272609,0.140542301,0.334042812,0.098328154,0.88244525,0.496559256,0.803638307,0.705199302,0.816231726,0.109823665,0.557656161,0.557656161,0.99120706,0.620451279,0.085123482,Early
TCGA-B6-A0IK-01A,0.50103129,0.29186802,0.6203454,0.362574892,0.397485161,0.59724723,0.317079272,0.55608553,0.51934396,0.643522773,0.76803653,0.753265583,0.544831937,0.439791623,0.624524936,0.633564748,0.474123111,0.531980519,0.302571793,0.851672252,0.646306753,0.685928454,0.062005696,0.51934396,0.307118468,0.224217836,0.093100593,0.477479449,0.509675196,0.279022575,0.51934396,0.713868732,0.314184817,0.247869892,0.755732798,0.849489636,0.322076856,0.857027264,0.610155366,0.618526531,0.486265038,0.527234,0.268562477,0.697503383,0.889649939,0.474127214,0.440654246,0.563457487,0.099166255,0.851363008,0.51934396,0.827599779,0.60968731,0.809241206,0.156641116,Late
TCGA-E2-A1L7-01A,0.686180673,0.242935118,0.837789421,0.324207887,0.48074763,0.939428582,0.530865894,0.374467795,0.884308106,0.634834687,0.590501144,0.835175266,0.61872924,0.635822251,0.848750479,0.140932426,0.660595645,0.934542482,0.355765304,0.899495853,0.947659342,0.423731859,0.104969486,0.372422589,0.145046846,0.427731952,0.043521784,0.617024887,0.842067073,0.59288972,0.787372421,0.411968973,0.253566143,0.770743272,0.832330224,0.841028574,0.681353538,0.92148996,0.755529325,0.716641418,0.4251931,0.628285869,0.615397964,0.724954684,0.913563965,0.679459045,0.443237083,0.668289447,0.629131332,0.251581961,0.88696006,0.884272155,0.452972123,0.703552017,0.547999374,Late
TCGA-E9-A247-01A,0.784764885,0.690160986,0.915006529,0.196035171,0.197103632,0.958670191,0.097658151,0.144417992,0.431604191,0.773572633,0.276884763,0.954506079,0.742345032,0.445157422,0.860192519,0.071909533,0.489445917,0.311953083,0.156483495,0.879644464,0.88443475,0.112769297,0.759495895,0.896259464,0.722613041,0.875537794,0.044697328,0.1952458,0.893480124,0.350824732,0.923480279,0.387841512,0.560093319,0.834171454,0.926818728,0.925383942,0.165581502,0.938949652,0.874226924,0.71586099,0.299847649,0.07936419,0.108679947,0.753051092,0.899686334,0.538956021,0.870071545,0.838464796,0.861423851,0.044959696,0.360170263,0.56964748,0.719837265,0.893534308,0.127633782,Early
TCGA-AR-A0U0-01A,0.25905301,0.255745693,0.608107429,0.823011145,0.88713796,0.436999078,0.497207577,0.642286484,0.497207577,0.214234015,0.857423631,0.678508124,0.186218238,0.464269467,0.785545845,0.402550612,0.125597742,0.870612413,0.904428234,0.497207577,0.526118376,0.471023108,0.106468604,0.497207577,0.16829501,0.263609128,0.048238124,0.721376996,0.551871107,0.281470978,0.83520423,0.497207577,0.141884556,0.170864073,0.298480717,0.497207577,0.215112289,0.497207577,0.236955528,0.491386669,0.943123267,0.56013117,0.594725279,0.625623368,0.497207577,0.305981117,0.477963925,0.480587881,0.054897905,0.951231314,0.928541856,0.497207577,0.663958834,0.908474492,0.446219521,Early
TCGA-E2-A1LI-01A,0.310252914,0.498362864,0.566514651,0.702657369,0.822560052,0.745802004,0.419986561,0.422606262,0.823390945,0.083691247,0.659193538,0.501847428,0.194110385,0.536980501,0.778489084,0.059948121,0.240434284,0.922634054,0.820505146,0.920615929,0.491399915,0.901761814,0.181001953,0.477305524,0.103009232,0.026232146,0.041233856,0.74041825,0.479824517,0.354724483,0.867131358,0.890235655,0.31955768,0.198973171,0.730075781,0.875722539,0.172327476,0.498362864,0.368989206,0.313230974,0.899143913,0.072238966,0.458363946,0.201724144,0.919755948,0.117279187,0.521069556,0.369039644,0.075509693,0.954690277,0.920362662,0.764535966,0.571793088,0.390993441,0.11135536,Early
TCGA-B6-A0WV-01A,0.611750934,0.062634859,0.742613082,0.140480198,0.099964391,0.916932725,0.100782747,0.167412413,0.490163576,0.625630407,0.490163576,0.225970681,0.655778076,0.293746438,0.778955902,0.564536613,0.379877702,0.490163576,0.062199109,0.490163576,0.621114575,0.229919263,0.802551798,0.490163576,0.698862668,0.273865584,0.330255153,0.127471981,0.770597451,0.229376779,0.490163576,0.490163576,0.477261994,0.811200008,0.824187194,0.490163576,0.792393077,0.490163576,0.688584915,0.771023853,0.143305982,0.688720507,0.241985755,0.781478962,0.490163576,0.474776179,0.778298837,0.808363421,0.541318974,0.268356722,0.490163576,0.490163576,0.854577601,0.434342986,0.183575298,Early
TCGA-A2-A0SV-01A,0.1619311,0.142786941,0.611575728,0.233107709,0.263203714,0.590523244,0.352636161,0.218728281,0.79827811,0.125948454,0.589327464,0.353848091,0.447379714,0.413510507,0.866720158,0.378296511,0.445477059,0.619276161,0.211757825,0.915844732,0.937704971,0.354071497,0.064441855,0.180640885,0.303660705,0.034100681,0.413043008,0.305139085,0.840554119,0.209131319,0.870450546,0.486154486,0.45422061,0.189551849,0.876416307,0.871927003,0.739821968,0.889042415,0.84040943,0.624038113,0.381810681,0.342707883,0.342440615,0.676959645,0.849851881,0.131721224,0.780193007,0.601575109,0.152362911,0.292952932,0.711221727,0.794164969,0.527055052,0.871397675,0.057402903,Early
TCGA-BH-A1FD-01A,0.72053506,0.105907306,0.368506942,0.226176907,0.222443048,0.688978518,0.411751909,0.211497247,0.578188097,0.278382374,0.907818533,0.890810426,0.618329127,0.408633213,0.73329613,0.076137357,0.348189568,0.603332132,0.215824408,0.902000014,0.970174206,0.381020912,0.676449651,0.464699808,0.580407085,0.632404727,0.484398833,0.273566017,0.895513647,0.320162334,0.856970186,0.85383044,0.595261797,0.804151498,0.931099584,0.902478442,0.727939921,0.866982901,0.712912332,0.599253315,0.202749265,0.643173099,0.371941524,0.685177778,0.897078467,0.360876126,0.640435389,0.632411209,0.757245519,0.465371699,0.666884589,0.578188097,0.986704965,0.792722867,0.072968813,Early
TCGA-BH-A0DI-01A,0.50275304,0.551780017,0.639029786,0.43191267,0.462700119,0.837783774,0.268003522,0.551547777,0.867299583,0.124526367,0.71610591,0.839428295,0.491352459,0.632869992,0.745445669,0.518100817,0.309931623,0.8338167,0.387212347,0.911060409,0.726475911,0.520995371,0.215634921,0.725710388,0.380568996,0.107435792,0.060943368,0.600388567,0.586648592,0.466063227,0.874266711,0.647843784,0.362039933,0.527323521,0.716159792,0.877266948,0.594010937,0.915002558,0.517255373,0.521708204,0.521900296,0.113718611,0.278906362,0.457307147,0.928730548,0.186059772,0.681034389,0.419214699,0.446681995,0.448862698,0.775976458,0.806757645,0.62590705,0.756606053,0.333833423,Early
